index,Quarter,AdmissionType,SpecialtyName,Episodes,LengthOfEpisode,Stays,LengthOfStay,HBName,LocationName
2347,2018Q3,Elective Inpatients,Rheumatology,0,5,0,5,NHS Greater Glasgow and Clyde,Inverclyde Royal Hospital
2348,2018Q4,Elective Inpatients,Rheumatology,5,5,5,5,NHS Greater Glasgow and Clyde,Inverclyde Royal Hospital
2349,2019Q1,Elective Inpatients,Rheumatology,5,0,5,0,NHS Greater Glasgow and Clyde,Inverclyde Royal Hospital
2350,2019Q2,Elective Inpatients,Rheumatology,5,5,5,5,NHS Greater Glasgow and Clyde,Inverclyde Royal Hospital
2351,2019Q3,Elective Inpatients,Rheumatology,0,6,5,6,NHS Greater Glasgow and Clyde,Inverclyde Royal Hospital
2352,2014Q4,Elective Inpatients,General Surgery,211,390,219,655,NHS Greater Glasgow and Clyde,Inverclyde Royal Hospital
2353,2015Q1,Elective Inpatients,General Surgery,219,290,223,520,NHS Greater Glasgow and Clyde,Inverclyde Royal Hospital
2354,2015Q2,Elective Inpatients,General Surgery,185,270,192,805,NHS Greater Glasgow and Clyde,Inverclyde Royal Hospital
2355,2015Q3,Elective Inpatients,General Surgery,186,215,192,490,NHS Greater Glasgow and Clyde,Inverclyde Royal Hospital
2356,2015Q4,Elective Inpatients,General Surgery,206,345,215,583,NHS Greater Glasgow and Clyde,Inverclyde Royal Hospital
2357,2016Q1,Elective Inpatients,General Surgery,212,280,215,571,NHS Greater Glasgow and Clyde,Inverclyde Royal Hospital
2358,2016Q2,Elective Inpatients,General Surgery,209,270,218,400,NHS Greater Glasgow and Clyde,Inverclyde Royal Hospital
2359,2016Q3,Elective Inpatients,General Surgery,183,325,186,545,NHS Greater Glasgow and Clyde,Inverclyde Royal Hospital
2360,2016Q4,Elective Inpatients,General Surgery,164,235,175,503,NHS Greater Glasgow and Clyde,Inverclyde Royal Hospital
2361,2017Q1,Elective Inpatients,General Surgery,172,190,172,380,NHS Greater Glasgow and Clyde,Inverclyde Royal Hospital
2362,2017Q2,Elective Inpatients,General Surgery,164,315,170,485,NHS Greater Glasgow and Clyde,Inverclyde Royal Hospital
2363,2017Q3,Elective Inpatients,General Surgery,149,200,151,345,NHS Greater Glasgow and Clyde,Inverclyde Royal Hospital
2364,2017Q4,Elective Inpatients,General Surgery,171,245,175,425,NHS Greater Glasgow and Clyde,Inverclyde Royal Hospital
2365,2018Q1,Elective Inpatients,General Surgery,201,285,208,530,NHS Greater Glasgow and Clyde,Inverclyde Royal Hospital
2366,2018Q2,Elective Inpatients,General Surgery,213,250,219,425,NHS Greater Glasgow and Clyde,Inverclyde Royal Hospital
2367,2018Q3,Elective Inpatients,General Surgery,173,235,174,370,NHS Greater Glasgow and Clyde,Inverclyde Royal Hospital
2368,2018Q4,Elective Inpatients,General Surgery,154,320,165,642,NHS Greater Glasgow and Clyde,Inverclyde Royal Hospital
2369,2019Q1,Elective Inpatients,General Surgery,137,175,138,365,NHS Greater Glasgow and Clyde,Inverclyde Royal Hospital
2370,2019Q2,Elective Inpatients,General Surgery,122,210,127,390,NHS Greater Glasgow and Clyde,Inverclyde Royal Hospital
2371,2019Q3,Elective Inpatients,General Surgery,109,135,115,390,NHS Greater Glasgow and Clyde,Inverclyde Royal Hospital
2372,2017Q3,Elective Inpatients,Anaesthetics,0,0,0,0,NHS Greater Glasgow and Clyde,Inverclyde Royal Hospital
2373,2017Q4,Elective Inpatients,Anaesthetics,0,0,0,0,NHS Greater Glasgow and Clyde,Inverclyde Royal Hospital
2374,2019Q1,Elective Inpatients,Anaesthetics,0,0,0,0,NHS Greater Glasgow and Clyde,Inverclyde Royal Hospital
2375,2015Q4,Elective Inpatients,"Ear, Nose & Throat (ENT)",0,0,0,0,NHS Greater Glasgow and Clyde,Inverclyde Royal Hospital
2376,2014Q4,Elective Inpatients,Ophthalmology,5,5,10,11,NHS Greater Glasgow and Clyde,Inverclyde Royal Hospital
2377,2015Q1,Elective Inpatients,Ophthalmology,5,5,5,6,NHS Greater Glasgow and Clyde,Inverclyde Royal Hospital
2378,2015Q2,Elective Inpatients,Ophthalmology,5,5,10,10,NHS Greater Glasgow and Clyde,Inverclyde Royal Hospital
2379,2015Q3,Elective Inpatients,Ophthalmology,10,6,10,7,NHS Greater Glasgow and Clyde,Inverclyde Royal Hospital
2380,2015Q4,Elective Inpatients,Ophthalmology,12,9,15,10,NHS Greater Glasgow and Clyde,Inverclyde Royal Hospital
2381,2016Q1,Elective Inpatients,Ophthalmology,10,8,15,12,NHS Greater Glasgow and Clyde,Inverclyde Royal Hospital
2382,2016Q2,Elective Inpatients,Ophthalmology,5,5,10,15,NHS Greater Glasgow and Clyde,Inverclyde Royal Hospital
2383,2016Q3,Elective Inpatients,Ophthalmology,5,6,5,5,NHS Greater Glasgow and Clyde,Inverclyde Royal Hospital
2384,2016Q4,Elective Inpatients,Ophthalmology,5,9,10,12,NHS Greater Glasgow and Clyde,Inverclyde Royal Hospital
2385,2017Q1,Elective Inpatients,Ophthalmology,5,5,5,7,NHS Greater Glasgow and Clyde,Inverclyde Royal Hospital
2386,2017Q2,Elective Inpatients,Ophthalmology,0,0,5,7,NHS Greater Glasgow and Clyde,Inverclyde Royal Hospital
2387,2017Q3,Elective Inpatients,Ophthalmology,5,5,5,6,NHS Greater Glasgow and Clyde,Inverclyde Royal Hospital
2388,2017Q4,Elective Inpatients,Ophthalmology,5,5,5,7,NHS Greater Glasgow and Clyde,Inverclyde Royal Hospital
2389,2018Q1,Elective Inpatients,Ophthalmology,0,0,0,0,NHS Greater Glasgow and Clyde,Inverclyde Royal Hospital
2390,2018Q2,Elective Inpatients,Ophthalmology,5,5,5,10,NHS Greater Glasgow and Clyde,Inverclyde Royal Hospital
2391,2018Q4,Elective Inpatients,Ophthalmology,0,0,5,5,NHS Greater Glasgow and Clyde,Inverclyde Royal Hospital
2392,2019Q1,Elective Inpatients,Ophthalmology,5,5,5,10,NHS Greater Glasgow and Clyde,Inverclyde Royal Hospital
2393,2019Q2,Elective Inpatients,Ophthalmology,0,0,0,0,NHS Greater Glasgow and Clyde,Inverclyde Royal Hospital
2394,2019Q3,Elective Inpatients,Ophthalmology,0,20,5,22,NHS Greater Glasgow and Clyde,Inverclyde Royal Hospital
2395,2014Q4,Elective Inpatients,Trauma and Orthopaedic Surgery,174,608,177,635,NHS Greater Glasgow and Clyde,Inverclyde Royal Hospital
2396,2015Q1,Elective Inpatients,Trauma and Orthopaedic Surgery,156,455,156,533,NHS Greater Glasgow and Clyde,Inverclyde Royal Hospital
2397,2015Q2,Elective Inpatients,Trauma and Orthopaedic Surgery,180,684,180,700,NHS Greater Glasgow and Clyde,Inverclyde Royal Hospital
2398,2015Q3,Elective Inpatients,Trauma and Orthopaedic Surgery,180,755,181,575,NHS Greater Glasgow and Clyde,Inverclyde Royal Hospital
2399,2015Q4,Elective Inpatients,Trauma and Orthopaedic Surgery,176,449,175,463,NHS Greater Glasgow and Clyde,Inverclyde Royal Hospital
2400,2016Q1,Elective Inpatients,Trauma and Orthopaedic Surgery,154,675,153,678,NHS Greater Glasgow and Clyde,Inverclyde Royal Hospital
2401,2016Q2,Elective Inpatients,Trauma and Orthopaedic Surgery,166,520,165,519,NHS Greater Glasgow and Clyde,Inverclyde Royal Hospital
2402,2016Q3,Elective Inpatients,Trauma and Orthopaedic Surgery,166,513,166,530,NHS Greater Glasgow and Clyde,Inverclyde Royal Hospital
2403,2016Q4,Elective Inpatients,Trauma and Orthopaedic Surgery,187,459,188,509,NHS Greater Glasgow and Clyde,Inverclyde Royal Hospital
2404,2017Q1,Elective Inpatients,Trauma and Orthopaedic Surgery,175,490,177,1175,NHS Greater Glasgow and Clyde,Inverclyde Royal Hospital
2405,2017Q2,Elective Inpatients,Trauma and Orthopaedic Surgery,181,551,181,575,NHS Greater Glasgow and Clyde,Inverclyde Royal Hospital
2406,2017Q3,Elective Inpatients,Trauma and Orthopaedic Surgery,201,585,201,1153,NHS Greater Glasgow and Clyde,Inverclyde Royal Hospital
2407,2017Q4,Elective Inpatients,Trauma and Orthopaedic Surgery,186,634,187,660,NHS Greater Glasgow and Clyde,Inverclyde Royal Hospital
2408,2018Q1,Elective Inpatients,Trauma and Orthopaedic Surgery,134,365,135,370,NHS Greater Glasgow and Clyde,Inverclyde Royal Hospital
2409,2018Q2,Elective Inpatients,Trauma and Orthopaedic Surgery,168,538,168,548,NHS Greater Glasgow and Clyde,Inverclyde Royal Hospital
2410,2018Q3,Elective Inpatients,Trauma and Orthopaedic Surgery,161,487,156,486,NHS Greater Glasgow and Clyde,Inverclyde Royal Hospital
2411,2018Q4,Elective Inpatients,Trauma and Orthopaedic Surgery,182,495,186,520,NHS Greater Glasgow and Clyde,Inverclyde Royal Hospital
2412,2019Q1,Elective Inpatients,Trauma and Orthopaedic Surgery,180,520,180,535,NHS Greater Glasgow and Clyde,Inverclyde Royal Hospital
2413,2019Q2,Elective Inpatients,Trauma and Orthopaedic Surgery,142,395,143,415,NHS Greater Glasgow and Clyde,Inverclyde Royal Hospital
2414,2019Q3,Elective Inpatients,Trauma and Orthopaedic Surgery,134,485,134,491,NHS Greater Glasgow and Clyde,Inverclyde Royal Hospital
2415,2018Q1,Elective Inpatients,Plastic Surgery,5,0,5,0,NHS Greater Glasgow and Clyde,Inverclyde Royal Hospital
2416,2018Q2,Elective Inpatients,Plastic Surgery,0,0,0,0,NHS Greater Glasgow and Clyde,Inverclyde Royal Hospital
2417,2014Q4,Elective Inpatients,Urology,5,6,5,5,NHS Greater Glasgow and Clyde,Inverclyde Royal Hospital
2418,2015Q1,Elective Inpatients,Urology,10,10,10,10,NHS Greater Glasgow and Clyde,Inverclyde Royal Hospital
2419,2015Q2,Elective Inpatients,Urology,5,7,5,5,NHS Greater Glasgow and Clyde,Inverclyde Royal Hospital
2420,2015Q3,Elective Inpatients,Urology,5,5,5,5,NHS Greater Glasgow and Clyde,Inverclyde Royal Hospital
2421,2015Q4,Elective Inpatients,Urology,5,5,5,5,NHS Greater Glasgow and Clyde,Inverclyde Royal Hospital
2422,2016Q1,Elective Inpatients,Urology,0,0,0,0,NHS Greater Glasgow and Clyde,Inverclyde Royal Hospital
2423,2016Q4,Elective Inpatients,Urology,0,0,5,15,NHS Greater Glasgow and Clyde,Inverclyde Royal Hospital
2424,2017Q1,Elective Inpatients,Urology,5,5,5,5,NHS Greater Glasgow and Clyde,Inverclyde Royal Hospital
2425,2017Q2,Elective Inpatients,Urology,0,0,0,0,NHS Greater Glasgow and Clyde,Inverclyde Royal Hospital
2426,2017Q3,Elective Inpatients,Urology,5,5,5,5,NHS Greater Glasgow and Clyde,Inverclyde Royal Hospital
2427,2017Q4,Elective Inpatients,Urology,5,11,5,10,NHS Greater Glasgow and Clyde,Inverclyde Royal Hospital
2428,2018Q1,Elective Inpatients,Urology,5,5,5,5,NHS Greater Glasgow and Clyde,Inverclyde Royal Hospital
2429,2018Q2,Elective Inpatients,Urology,5,9,10,15,NHS Greater Glasgow and Clyde,Inverclyde Royal Hospital
2430,2018Q3,Elective Inpatients,Urology,5,5,10,10,NHS Greater Glasgow and Clyde,Inverclyde Royal Hospital
2431,2018Q4,Elective Inpatients,Urology,5,13,5,15,NHS Greater Glasgow and Clyde,Inverclyde Royal Hospital
2432,2019Q1,Elective Inpatients,Urology,5,7,5,5,NHS Greater Glasgow and Clyde,Inverclyde Royal Hospital
2433,2019Q2,Elective Inpatients,Urology,5,9,5,10,NHS Greater Glasgow and Clyde,Inverclyde Royal Hospital
2434,2019Q3,Elective Inpatients,Urology,0,0,0,0,NHS Greater Glasgow and Clyde,Inverclyde Royal Hospital
2435,2014Q4,Elective Inpatients,Haematology,0,5,0,5,NHS Greater Glasgow and Clyde,Inverclyde Royal Hospital
2436,2015Q1,Elective Inpatients,Haematology,5,5,10,5,NHS Greater Glasgow and Clyde,Inverclyde Royal Hospital
2437,2015Q2,Elective Inpatients,Haematology,0,10,5,10,NHS Greater Glasgow and Clyde,Inverclyde Royal Hospital
2438,2015Q3,Elective Inpatients,Haematology,0,0,5,10,NHS Greater Glasgow and Clyde,Inverclyde Royal Hospital
2439,2015Q4,Elective Inpatients,Haematology,5,5,10,5,NHS Greater Glasgow and Clyde,Inverclyde Royal Hospital
2440,2016Q1,Elective Inpatients,Haematology,5,5,5,5,NHS Greater Glasgow and Clyde,Inverclyde Royal Hospital
2441,2016Q2,Elective Inpatients,Haematology,5,19,5,15,NHS Greater Glasgow and Clyde,Inverclyde Royal Hospital
2442,2016Q3,Elective Inpatients,Haematology,5,21,10,110,NHS Greater Glasgow and Clyde,Inverclyde Royal Hospital
2443,2016Q4,Elective Inpatients,Haematology,10,0,10,5,NHS Greater Glasgow and Clyde,Inverclyde Royal Hospital
2444,2017Q1,Elective Inpatients,Haematology,12,0,15,20,NHS Greater Glasgow and Clyde,Inverclyde Royal Hospital
2445,2017Q2,Elective Inpatients,Haematology,0,0,0,0,NHS Greater Glasgow and Clyde,Inverclyde Royal Hospital
2446,2017Q3,Elective Inpatients,Haematology,5,10,5,25,NHS Greater Glasgow and Clyde,Inverclyde Royal Hospital
2447,2017Q4,Elective Inpatients,Haematology,5,5,5,30,NHS Greater Glasgow and Clyde,Inverclyde Royal Hospital
2448,2018Q1,Elective Inpatients,Haematology,10,8,10,10,NHS Greater Glasgow and Clyde,Inverclyde Royal Hospital
2449,2018Q2,Elective Inpatients,Haematology,5,5,10,10,NHS Greater Glasgow and Clyde,Inverclyde Royal Hospital
2450,2018Q3,Elective Inpatients,Haematology,0,0,0,0,NHS Greater Glasgow and Clyde,Inverclyde Royal Hospital
2451,2014Q4,Elective Inpatients,General Medicine,70,225,140,577,NHS Greater Glasgow and Clyde,New Victoria Hospital
2452,2015Q1,Elective Inpatients,General Medicine,77,155,150,563,NHS Greater Glasgow and Clyde,New Victoria Hospital
2453,2015Q2,Elective Inpatients,General Medicine,37,120,90,379,NHS Greater Glasgow and Clyde,New Victoria Hospital
2454,2015Q4,Elective Inpatients,General Medicine,0,0,10,35,NHS Greater Glasgow and Clyde,New Victoria Hospital
2455,2016Q3,Elective Inpatients,General Medicine,0,0,5,5,NHS Greater Glasgow and Clyde,New Victoria Hospital
2456,2017Q1,Elective Inpatients,General Medicine,0,0,15,35,NHS Greater Glasgow and Clyde,New Victoria Hospital
2457,2018Q1,Elective Inpatients,General Medicine,0,0,10,61,NHS Greater Glasgow and Clyde,New Victoria Hospital
2458,2018Q3,Elective Inpatients,General Medicine,0,0,10,50,NHS Greater Glasgow and Clyde,New Victoria Hospital
2459,2019Q3,Elective Inpatients,General Medicine,18,0,20,0,NHS Greater Glasgow and Clyde,New Victoria Hospital
2460,2014Q4,Elective Inpatients,Cardiology,5,15,5,14,NHS Greater Glasgow and Clyde,New Victoria Hospital
2461,2015Q1,Elective Inpatients,Cardiology,5,10,5,5,NHS Greater Glasgow and Clyde,New Victoria Hospital
2462,2015Q2,Elective Inpatients,Cardiology,5,15,5,15,NHS Greater Glasgow and Clyde,New Victoria Hospital
2463,2014Q4,Elective Inpatients,Gastroenterology,50,35,55,35,NHS Greater Glasgow and Clyde,New Victoria Hospital
2464,2015Q1,Elective Inpatients,Gastroenterology,45,36,60,38,NHS Greater Glasgow and Clyde,New Victoria Hospital
2465,2015Q2,Elective Inpatients,Gastroenterology,20,18,29,18,NHS Greater Glasgow and Clyde,New Victoria Hospital
2466,2015Q3,Elective Inpatients,Gastroenterology,5,6,10,10,NHS Greater Glasgow and Clyde,New Victoria Hospital
2467,2015Q4,Elective Inpatients,Gastroenterology,10,10,16,50,NHS Greater Glasgow and Clyde,New Victoria Hospital
2468,2016Q1,Elective Inpatients,Gastroenterology,10,13,15,25,NHS Greater Glasgow and Clyde,New Victoria Hospital
2469,2016Q2,Elective Inpatients,Gastroenterology,15,17,15,15,NHS Greater Glasgow and Clyde,New Victoria Hospital
2470,2016Q3,Elective Inpatients,Gastroenterology,15,15,21,20,NHS Greater Glasgow and Clyde,New Victoria Hospital
2471,2016Q4,Elective Inpatients,Gastroenterology,12,15,15,25,NHS Greater Glasgow and Clyde,New Victoria Hospital
2472,2017Q1,Elective Inpatients,Gastroenterology,15,12,21,35,NHS Greater Glasgow and Clyde,New Victoria Hospital
2473,2017Q2,Elective Inpatients,Gastroenterology,10,10,13,15,NHS Greater Glasgow and Clyde,New Victoria Hospital
2474,2017Q3,Elective Inpatients,Gastroenterology,20,24,23,30,NHS Greater Glasgow and Clyde,New Victoria Hospital
2475,2017Q4,Elective Inpatients,Gastroenterology,20,23,34,35,NHS Greater Glasgow and Clyde,New Victoria Hospital
2476,2018Q1,Elective Inpatients,Gastroenterology,20,28,27,30,NHS Greater Glasgow and Clyde,New Victoria Hospital
2477,2018Q2,Elective Inpatients,Gastroenterology,15,23,21,35,NHS Greater Glasgow and Clyde,New Victoria Hospital
2478,2018Q3,Elective Inpatients,Gastroenterology,5,10,10,20,NHS Greater Glasgow and Clyde,New Victoria Hospital
2479,2018Q4,Elective Inpatients,Gastroenterology,20,22,22,25,NHS Greater Glasgow and Clyde,New Victoria Hospital
2480,2019Q1,Elective Inpatients,Gastroenterology,10,17,17,35,NHS Greater Glasgow and Clyde,New Victoria Hospital
2481,2019Q2,Elective Inpatients,Gastroenterology,22,25,25,25,NHS Greater Glasgow and Clyde,New Victoria Hospital
2482,2019Q3,Elective Inpatients,Gastroenterology,20,28,24,50,NHS Greater Glasgow and Clyde,New Victoria Hospital
2483,2014Q4,Elective Inpatients,Geriatric Medicine,5,25,15,239,NHS Greater Glasgow and Clyde,New Victoria Hospital
2484,2015Q1,Elective Inpatients,Geriatric Medicine,5,22,15,286,NHS Greater Glasgow and Clyde,New Victoria Hospital
2485,2015Q2,Elective Inpatients,Geriatric Medicine,5,18,5,175,NHS Greater Glasgow and Clyde,New Victoria Hospital
2486,2016Q1,Elective Inpatients,Geriatric Medicine,0,0,0,0,NHS Greater Glasgow and Clyde,New Victoria Hospital
2487,2016Q2,Elective Inpatients,Geriatric Medicine,0,0,0,0,NHS Greater Glasgow and Clyde,New Victoria Hospital
2488,2016Q3,Elective Inpatients,Geriatric Medicine,5,36,0,5,NHS Greater Glasgow and Clyde,New Victoria Hospital
2489,2017Q1,Elective Inpatients,Geriatric Medicine,0,55,0,57,NHS Greater Glasgow and Clyde,New Victoria Hospital
2490,2017Q3,Elective Inpatients,Geriatric Medicine,0,12,0,0,NHS Greater Glasgow and Clyde,New Victoria Hospital
2491,2019Q3,Elective Inpatients,Geriatric Medicine,0,0,0,5,NHS Greater Glasgow and Clyde,New Victoria Hospital
2492,2014Q4,Elective Inpatients,Respiratory Medicine,35,17,36,25,NHS Greater Glasgow and Clyde,New Victoria Hospital
2493,2015Q1,Elective Inpatients,Respiratory Medicine,40,15,44,15,NHS Greater Glasgow and Clyde,New Victoria Hospital
2494,2015Q2,Elective Inpatients,Respiratory Medicine,20,10,25,10,NHS Greater Glasgow and Clyde,New Victoria Hospital
2495,2015Q3,Elective Inpatients,Respiratory Medicine,5,0,10,30,NHS Greater Glasgow and Clyde,New Victoria Hospital
2496,2015Q4,Elective Inpatients,Respiratory Medicine,0,0,5,10,NHS Greater Glasgow and Clyde,New Victoria Hospital
2497,2016Q2,Elective Inpatients,Respiratory Medicine,0,0,5,5,NHS Greater Glasgow and Clyde,New Victoria Hospital
2498,2016Q3,Elective Inpatients,Respiratory Medicine,5,0,5,5,NHS Greater Glasgow and Clyde,New Victoria Hospital
2499,2016Q4,Elective Inpatients,Respiratory Medicine,0,0,10,30,NHS Greater Glasgow and Clyde,New Victoria Hospital
2500,2017Q1,Elective Inpatients,Respiratory Medicine,0,0,10,5,NHS Greater Glasgow and Clyde,New Victoria Hospital
2501,2017Q2,Elective Inpatients,Respiratory Medicine,5,0,5,10,NHS Greater Glasgow and Clyde,New Victoria Hospital
2502,2017Q3,Elective Inpatients,Respiratory Medicine,5,5,10,20,NHS Greater Glasgow and Clyde,New Victoria Hospital
2503,2017Q4,Elective Inpatients,Respiratory Medicine,0,0,5,38,NHS Greater Glasgow and Clyde,New Victoria Hospital
2504,2018Q1,Elective Inpatients,Respiratory Medicine,10,0,10,52,NHS Greater Glasgow and Clyde,New Victoria Hospital
2505,2018Q2,Elective Inpatients,Respiratory Medicine,5,0,5,0,NHS Greater Glasgow and Clyde,New Victoria Hospital
2506,2018Q3,Elective Inpatients,Respiratory Medicine,5,0,10,30,NHS Greater Glasgow and Clyde,New Victoria Hospital
2507,2018Q4,Elective Inpatients,Respiratory Medicine,0,0,5,5,NHS Greater Glasgow and Clyde,New Victoria Hospital
2508,2019Q1,Elective Inpatients,Respiratory Medicine,5,0,10,52,NHS Greater Glasgow and Clyde,New Victoria Hospital
2509,2019Q2,Elective Inpatients,Respiratory Medicine,5,0,12,20,NHS Greater Glasgow and Clyde,New Victoria Hospital
2510,2019Q3,Elective Inpatients,Respiratory Medicine,5,0,5,5,NHS Greater Glasgow and Clyde,New Victoria Hospital
2511,2014Q4,Elective Inpatients,Rheumatology,0,0,0,0,NHS Greater Glasgow and Clyde,New Victoria Hospital
2512,2015Q1,Elective Inpatients,Rheumatology,5,5,5,6,NHS Greater Glasgow and Clyde,New Victoria Hospital
2513,2015Q2,Elective Inpatients,Rheumatology,0,5,0,5,NHS Greater Glasgow and Clyde,New Victoria Hospital
2514,2014Q4,Elective Inpatients,General Surgery,314,415,325,724,NHS Greater Glasgow and Clyde,New Victoria Hospital
2515,2015Q1,Elective Inpatients,General Surgery,286,445,290,865,NHS Greater Glasgow and Clyde,New Victoria Hospital
2516,2015Q2,Elective Inpatients,General Surgery,184,240,195,442,NHS Greater Glasgow and Clyde,New Victoria Hospital
2517,2015Q3,Elective Inpatients,General Surgery,105,130,115,149,NHS Greater Glasgow and Clyde,New Victoria Hospital
2518,2015Q4,Elective Inpatients,General Surgery,115,131,122,155,NHS Greater Glasgow and Clyde,New Victoria Hospital
2519,2016Q1,Elective Inpatients,General Surgery,95,108,97,115,NHS Greater Glasgow and Clyde,New Victoria Hospital
2520,2016Q2,Elective Inpatients,General Surgery,80,106,83,125,NHS Greater Glasgow and Clyde,New Victoria Hospital
2521,2016Q3,Elective Inpatients,General Surgery,125,119,134,140,NHS Greater Glasgow and Clyde,New Victoria Hospital
2522,2016Q4,Elective Inpatients,General Surgery,100,120,104,150,NHS Greater Glasgow and Clyde,New Victoria Hospital
2523,2017Q1,Elective Inpatients,General Surgery,90,88,99,115,NHS Greater Glasgow and Clyde,New Victoria Hospital
2524,2017Q2,Elective Inpatients,General Surgery,70,82,81,155,NHS Greater Glasgow and Clyde,New Victoria Hospital
2525,2017Q3,Elective Inpatients,General Surgery,95,77,108,135,NHS Greater Glasgow and Clyde,New Victoria Hospital
2526,2017Q4,Elective Inpatients,General Surgery,95,97,105,145,NHS Greater Glasgow and Clyde,New Victoria Hospital
2527,2018Q1,Elective Inpatients,General Surgery,105,122,111,125,NHS Greater Glasgow and Clyde,New Victoria Hospital
2528,2018Q2,Elective Inpatients,General Surgery,115,115,123,150,NHS Greater Glasgow and Clyde,New Victoria Hospital
2529,2018Q3,Elective Inpatients,General Surgery,80,84,85,115,NHS Greater Glasgow and Clyde,New Victoria Hospital
2530,2018Q4,Elective Inpatients,General Surgery,95,84,102,100,NHS Greater Glasgow and Clyde,New Victoria Hospital
2531,2019Q1,Elective Inpatients,General Surgery,125,104,129,135,NHS Greater Glasgow and Clyde,New Victoria Hospital
2532,2019Q2,Elective Inpatients,General Surgery,90,65,93,75,NHS Greater Glasgow and Clyde,New Victoria Hospital
2533,2019Q3,Elective Inpatients,General Surgery,90,60,93,70,NHS Greater Glasgow and Clyde,New Victoria Hospital
2534,2014Q4,Elective Inpatients,Anaesthetics,13,15,15,80,NHS Greater Glasgow and Clyde,New Victoria Hospital
2535,2015Q1,Elective Inpatients,Anaesthetics,10,10,15,25,NHS Greater Glasgow and Clyde,New Victoria Hospital
2536,2015Q2,Elective Inpatients,Anaesthetics,5,5,5,5,NHS Greater Glasgow and Clyde,New Victoria Hospital
2537,2015Q3,Elective Inpatients,Anaesthetics,5,5,10,10,NHS Greater Glasgow and Clyde,New Victoria Hospital
2538,2015Q4,Elective Inpatients,Anaesthetics,5,5,5,5,NHS Greater Glasgow and Clyde,New Victoria Hospital
2539,2016Q1,Elective Inpatients,Anaesthetics,12,10,12,10,NHS Greater Glasgow and Clyde,New Victoria Hospital
2540,2016Q2,Elective Inpatients,Anaesthetics,5,5,10,10,NHS Greater Glasgow and Clyde,New Victoria Hospital
2541,2016Q3,Elective Inpatients,Anaesthetics,10,10,10,10,NHS Greater Glasgow and Clyde,New Victoria Hospital
2542,2016Q4,Elective Inpatients,Anaesthetics,5,5,10,10,NHS Greater Glasgow and Clyde,New Victoria Hospital
2543,2017Q1,Elective Inpatients,Anaesthetics,5,5,5,5,NHS Greater Glasgow and Clyde,New Victoria Hospital
2544,2017Q2,Elective Inpatients,Anaesthetics,5,5,5,5,NHS Greater Glasgow and Clyde,New Victoria Hospital
2545,2017Q3,Elective Inpatients,Anaesthetics,5,5,5,5,NHS Greater Glasgow and Clyde,New Victoria Hospital
2546,2017Q4,Elective Inpatients,Anaesthetics,5,5,5,5,NHS Greater Glasgow and Clyde,New Victoria Hospital
2547,2018Q1,Elective Inpatients,Anaesthetics,5,5,5,5,NHS Greater Glasgow and Clyde,New Victoria Hospital
2548,2018Q2,Elective Inpatients,Anaesthetics,10,10,10,15,NHS Greater Glasgow and Clyde,New Victoria Hospital
2549,2018Q3,Elective Inpatients,Anaesthetics,10,10,10,10,NHS Greater Glasgow and Clyde,New Victoria Hospital
2550,2018Q4,Elective Inpatients,Anaesthetics,11,10,11,10,NHS Greater Glasgow and Clyde,New Victoria Hospital
2551,2019Q1,Elective Inpatients,Anaesthetics,10,10,11,15,NHS Greater Glasgow and Clyde,New Victoria Hospital
2552,2019Q2,Elective Inpatients,Anaesthetics,13,15,13,15,NHS Greater Glasgow and Clyde,New Victoria Hospital
2553,2019Q3,Elective Inpatients,Anaesthetics,5,10,5,10,NHS Greater Glasgow and Clyde,New Victoria Hospital
2554,2014Q4,Elective Inpatients,"Ear, Nose & Throat (ENT)",30,25,35,72,NHS Greater Glasgow and Clyde,New Victoria Hospital
2555,2015Q1,Elective Inpatients,"Ear, Nose & Throat (ENT)",25,24,25,30,NHS Greater Glasgow and Clyde,New Victoria Hospital
2556,2015Q2,Elective Inpatients,"Ear, Nose & Throat (ENT)",21,15,25,20,NHS Greater Glasgow and Clyde,New Victoria Hospital
2557,2015Q3,Elective Inpatients,"Ear, Nose & Throat (ENT)",30,20,31,25,NHS Greater Glasgow and Clyde,New Victoria Hospital
2558,2015Q4,Elective Inpatients,"Ear, Nose & Throat (ENT)",35,25,38,35,NHS Greater Glasgow and Clyde,New Victoria Hospital
2559,2016Q1,Elective Inpatients,"Ear, Nose & Throat (ENT)",18,15,20,20,NHS Greater Glasgow and Clyde,New Victoria Hospital
2560,2016Q2,Elective Inpatients,"Ear, Nose & Throat (ENT)",22,25,25,25,NHS Greater Glasgow and Clyde,New Victoria Hospital
2561,2016Q3,Elective Inpatients,"Ear, Nose & Throat (ENT)",25,20,28,25,NHS Greater Glasgow and Clyde,New Victoria Hospital
2562,2016Q4,Elective Inpatients,"Ear, Nose & Throat (ENT)",20,20,20,25,NHS Greater Glasgow and Clyde,New Victoria Hospital
2563,2017Q1,Elective Inpatients,"Ear, Nose & Throat (ENT)",30,26,35,25,NHS Greater Glasgow and Clyde,New Victoria Hospital
2564,2017Q2,Elective Inpatients,"Ear, Nose & Throat (ENT)",30,30,33,30,NHS Greater Glasgow and Clyde,New Victoria Hospital
2565,2017Q3,Elective Inpatients,"Ear, Nose & Throat (ENT)",35,30,36,30,NHS Greater Glasgow and Clyde,New Victoria Hospital
